Area,Bedrooms,Bathrooms,Floors,Age,Parking,Location,Furnishing,Distance_to_City,Crime_Rate,School_Rating,Hospital_Distance,Metro_Distance,Shopping_Mall_Distance,Park_Distance,Pollution_Index,Population_Density,Property_Tax,Electricity_Availability,Water_Supply,Security,House_Type,Facing,Price
1818.0,4,3.0,1,2,0,Rural,Semi-Furnished,25.5,2.99,4.6,1.3,3.6,4.8,0.6,68.2,7551,34129,Yes,24x7,Gated,Independent House,West,107.79
1078.0,2,2.0,1,1,0,Suburban,Furnished,18.1,3.57,7.0,12.5,1.7,4.4,1.2,60.0,7008,23824,Yes,24x7,Non-Gated,Apartment,West,66.47
2063.0,4,5.0,1,31,1,Suburban,Furnished,11.4,2.77,4.7,1.3,1.8,0.7,0.3,88.6,6648,27610,Yes,24x7,Gated,Independent House,West,143.55
2167.0,4,4.0,1,1,1,Urban,Semi-Furnished,7.6,2.08,6.6,3.2,1.0,7.5,0.7,63.1,2454,26954,Yes,24x7,Gated,Apartment,East,155.6
577.0,1,1.0,2,20,3,Suburban,Unfurnished,17.6,5.13,5.7,0.9,0.7,8.0,1.4,73.3,7603,32547,Yes,24x7,Non-Gated,Independent House,North,43.29
934.0,2,3.0,2,7,1,Rural,Unfurnished,6.8,1.46,6.6,13.4,1.7,4.2,0.7,60.6,6679,21943,Yes,24x7,Gated,Apartment,West,84.46
1720.0,2,3.0,2,27,2,Urban,Unfurnished,13.7,4.98,6.5,2.2,3.6,4.2,3.4,74.8,2956,23677,Yes,24x7,Gated,Apartment,South,106.06
1476.0,4,3.0,1,4,1,Rural,Furnished,9.3,2.24,6.0,0.2,4.8,11.7,2.0,75.6,11032,21662,Yes,24x7,Non-Gated,Villa,East,125.42
1641.0,1,2.0,2,10,1,Urban,Unfurnished,11.6,4.76,8.5,0.9,9.3,4.2,1.5,33.3,3489,25027,Yes,24x7,Gated,Independent House,South,124.09
1181.0,5,5.0,2,21,2,Suburban,Semi-Furnished,8.2,1.33,8.5,0.7,2.7,6.1,1.4,72.4,6303,25527,Yes,24x7,Gated,Apartment,West,103.36
2134.0,1,5.0,1,15,2,Suburban,Furnished,16.2,3.46,5.9,3.1,4.9,4.4,10.8,55.8,7547,19820,Yes,24x7,Gated,Apartment,East,124.05
2078.0,6,1.0,3,8,2,Urban,Semi-Furnished,1.4,1.16,9.0,5.9,3.1,3.6,2.5,32.9,3160,27677,Yes,24x7,Non-Gated,Independent House,West,158.24
1686.0,5,5.0,1,2,1,Suburban,Furnished,3.6,2.28,5.6,3.9,3.7,3.3,2.2,34.7,6785,23943,Yes,24x7,Gated,Villa,North,155.02
2270.0,3,5.0,1,0,2,Urban,Semi-Furnished,8.4,4.29,7.0,2.3,3.4,10.5,0.8,84.4,7329,30252,Yes,24x7,Non-Gated,Apartment,North,154.23
1907.0,3,2.0,1,7,1,Rural,Unfurnished,10.8,2.67,3.8,9.8,2.3,5.1,0.7,56.0,1390,35411,Yes,24x7,Gated,Apartment,West,105.45
1177.0,5,3.0,2,11,0,Suburban,Semi-Furnished,23.1,8.05,8.9,1.2,5.9,4.8,2.0,44.2,2547,33621,Yes,Limited,Non-Gated,Independent House,West,89.29
1853.0,1,1.0,2,4,1,Suburban,Furnished,18.7,2.14,4.2,2.0,6.7,2.5,1.9,37.7,11081,31810,Yes,Limited,Gated,Apartment,North,104.51
1123.0,5,2.0,1,20,1,Urban,Semi-Furnished,2.7,4.69,7.4,2.9,3.2,4.8,2.6,43.0,10122,14100,Yes,Limited,Gated,Independent House,North,117.63
2133.0,4,2.0,2,35,3,Rural,Unfurnished,11.7,1.53,9.6,6.0,7.0,12.7,2.0,55.2,7263,18695,Yes,Limited,Gated,Independent House,South,141.68
1623.0,2,5.0,1,28,3,Rural,Semi-Furnished,10.5,8.0,5.4,1.9,7.2,3.2,0.5,71.9,6131,27008,Yes,24x7,Gated,Villa,North,126.7
1548.0,6,1.0,3,12,0,Suburban,Semi-Furnished,2.1,6.48,4.5,1.0,1.3,6.2,0.6,70.5,5592,20983,Yes,24x7,Gated,Apartment,West,107.54
1275.0,4,2.0,1,17,1,Urban,Unfurnished,13.7,3.65,6.8,5.6,5.8,3.7,0.0,102.1,7224,18500,No,24x7,Non-Gated,Apartment,East,96.44
2322.0,1,3.0,3,30,1,Urban,Furnished,12.0,3.26,9.0,1.5,0.6,1.4,0.5,70.5,8444,29249,Yes,Limited,Gated,Apartment,North,126.99
1565.0,4,5.0,2,38,0,Urban,Semi-Furnished,19.0,2.74,9.2,4.4,6.7,7.6,4.1,55.8,8141,36262,Yes,24x7,Non-Gated,Independent House,South,131.26
1414.0,3,5.0,3,22,0,Suburban,Unfurnished,10.9,4.5,4.6,5.5,2.7,9.0,2.1,82.7,11402,39016,Yes,24x7,Non-Gated,Independent House,West,90.65
1456.0,5,5.0,2,7,3,Urban,Unfurnished,5.4,5.78,9.8,6.4,0.8,1.2,0.4,35.2,14655,22547,Yes,Limited,Gated,Independent House,North,159.13
1943.0,3,2.0,1,34,2,Urban,Furnished,10.9,0.86,7.1,1.4,3.0,3.1,2.1,72.3,8881,37317,Yes,24x7,Gated,Independent House,East,137.08
